Date/Time,Reader,Place,Card number,Room name,ID of tenant
9/3/2024 23:59,86078,G3 ENTRY 3,806128,,13
9/3/2024 23:59,86078,G3 ENTRY 3,541426,,13
9/3/2024 23:59,86078,G3 ENTRY 3,541295,Outside,13
9/3/2024 23:59,86008,G2 ENTRY1,809680,,13
9/3/2024 23:58,8.00E+44,G5 ENTRY TS,550965,Outside,230
9/3/2024 23:58,86078,G3 ENTRY 3,552251,Outside,230
9/3/2024 23:57,86024,G2 ENTRY1 QR,558733,Outside,13
9/3/2024 23:55,86024,G2 ENTRY1 QR,765007,via FR App.,65
9/3/2024 23:55,86111,G5 ENTRY TSZ,894184,,65
9/3/2024 23:55,86078,G3 ENTRY 3,553564,,13
9/3/2024 23:54,87071,G3 ENTRY 3Z,895036,,65
9/3/2024 23:54,86094,G3 ENTRY 3 QR,895036,via FR App.,65
9/3/2024 23:54,86078,G3 ENTRY 3,779233,,13
9/3/2024 23:53,8.00E+44,G5 ENTRY TS,543847,Outside,230
9/3/2024 23:53,86008,G2 ENTRY1,907561,,144
9/3/2024 23:53,86078,G3 ENTRY 3,528771,Outside,230
9/3/2024 23:52,86078,G3 ENTRY 3,857801,,13
9/3/2024 23:52,86078,G3 ENTRY 3,800403,,13
9/3/2024 23:52,86094,G3 ENTRY 3 QR,807833,,13
9/3/2024 23:50,86078,G3 ENTRY 3,519706,,13
9/3/2024 23:50,86067,G4 ENTRY TS1,548957,Outside,230
9/3/2024 23:50,86008,G2 ENTRY1,882556,,169
9/3/2024 23:50,86067,G4 ENTRY TS1,876961,Outside,13
9/3/2024 23:50,86078,G3 ENTRY 3,520042,Outside,230
9/3/2024 23:49,86008,G2 ENTRY1,512730,Outside,230
9/3/2024 23:49,86078,G3 ENTRY 3,825478,,13
9/3/2024 23:49,86078,G3 ENTRY 3,516030,,13
9/3/2024 23:48,86078,G3 ENTRY 3,538080,Outside,230
9/3/2024 23:48,86078,G3 ENTRY 3,536063,Outside,230
9/3/2024 23:47,86078,G3 ENTRY 3,548600,Outside,230
9/3/2024 23:43,86008,G2 ENTRY1,550965,Outside,230
9/3/2024 23:43,86078,G3 ENTRY 3,823193,,13
9/3/2024 23:43,86008,G2 ENTRY1,852204,,13
9/3/2024 23:41,86008,G2 ENTRY1,556529,,65
9/3/2024 23:41,86008,G2 ENTRY1,866962,,13
9/3/2024 23:40,86008,G2 ENTRY1,886816,Outside,13
9/3/2024 23:40,8B002,G2 ENTRY 1Z,886816,Outside,13
9/3/2024 23:39,8.00E+44,G5 ENTRY TS,541527,Outside,230
9/3/2024 23:39,8.00E+44,G5 ENTRY TS,554905,Outside,230
9/3/2024 23:36,8D073,G1 ENTRY 1,534741,Outside,230
9/3/2024 23:36,8.00E+44,G5 ENTRY TS,538234,Outside,230
9/3/2024 23:36,8.00E+44,G5 ENTRY TS,537536,Outside,230
9/3/2024 23:35,86072,G2 ENTRY TS,547029,Outside,230
9/3/2024 23:34,86078,G3 ENTRY 3,509315,Outside,230
9/3/2024 23:33,8.00E+44,G5 ENTRY TS,539222,,14
9/3/2024 23:33,86008,G2 ENTRY1,759907,,65
9/3/2024 23:33,86078,G3 ENTRY 3,557015,Outside,230
9/3/2024 23:30,86078,G3 ENTRY 3,821343,,13
9/3/2024 23:29,86083,G4 ENTRY TS1 QR,445317,Outside,13
9/3/2024 23:26,86008,G2 ENTRY1,539755,,13
9/3/2024 23:24,87071,G3 ENTRY 3Z,828084,,65
9/3/2024 23:24,86094,G3 ENTRY 3 QR,828084,via FR App.,65
9/3/2024 23:24,87071,G3 ENTRY 3Z,828084,,65
9/3/2024 23:24,86094,G3 ENTRY 3 QR,895036,via FR App.,65
9/3/2024 23:24,87071,G3 ENTRY 3Z,895036,,65
9/3/2024 23:24,86024,G2 ENTRY1 QR,868394,via FR App.,65
9/3/2024 23:24,8B002,G2 ENTRY 1Z,868394,,65
9/3/2024 23:24,86078,G3 ENTRY 3,959659,,13
9/3/2024 23:23,86078,G3 ENTRY 3,842810,,65
9/3/2024 23:23,86078,G3 ENTRY 3,520483,,13
9/3/2024 23:22,86078,G3 ENTRY 3,803587,,13
9/3/2024 23:22,86067,G4 ENTRY TS1,879984,Outside,13
9/3/2024 23:21,8D009,G1 ENTRY TS,548260,Outside,230
9/3/2024 23:20,87071,G3 ENTRY 3Z,863047,,13
9/3/2024 23:20,8.00E+44,G5 ENTRY TS,775481,,13
9/3/2024 23:17,86078,G3 ENTRY 3,537258,Outside,230
9/3/2024 23:17,86008,G2 ENTRY1,810874,,13
9/3/2024 23:16,86078,G3 ENTRY 3,895832,Outside,230
9/3/2024 23:15,86008,G2 ENTRY1,535659,Outside,65
9/3/2024 23:14,86008,G2 ENTRY1,765159,,65
9/3/2024 23:14,8.00E+44,G5 ENTRY TS,507299,Outside,13
9/3/2024 23:14,86078,G3 ENTRY 3,848753,,13
9/3/2024 23:12,8D073,G1 ENTRY 1,809310,,65
9/3/2024 23:11,86024,G2 ENTRY1 QR,450714,Outside,13
9/3/2024 23:10,86024,G2 ENTRY1 QR,898085,,13
9/3/2024 23:08,86078,G3 ENTRY 3,554421,Outside,230
9/3/2024 23:08,86008,G2 ENTRY1,802705,,13
9/3/2024 23:07,86078,G3 ENTRY 3,521381,Outside,230
9/3/2024 23:07,86008,G2 ENTRY1,534741,Outside,230
9/3/2024 23:07,86094,G3 ENTRY 3 QR,557845,via FR App.,65
9/3/2024 23:07,87071,G3 ENTRY 3Z,557845,,65
9/3/2024 23:06,8B002,G2 ENTRY 1Z,762651,,65
9/3/2024 23:06,86024,G2 ENTRY1 QR,764960,via FR App.,65
9/3/2024 23:04,86078,G3 ENTRY 3,812443,Outside,13
9/3/2024 23:02,86024,G2 ENTRY1 QR,519800,via FR App.,13
9/3/2024 23:02,8B002,G2 ENTRY 1Z,519800,,13
9/3/2024 23:02,86008,G2 ENTRY1,554742,,13
9/3/2024 23:02,86014,G3 ENTRY TS,506589,Outside,230
9/3/2024 23:02,86008,G2 ENTRY1,542992,Outside,230
9/3/2024 23:00,86067,G4 ENTRY TS1,553136,Outside,230
9/3/2024 23:00,86078,G3 ENTRY 3,557084,Outside,230
9/3/2024 23:00,8.00E+44,G5 ENTRY TS,528150,Outside,230
9/3/2024 23:00,86078,G3 ENTRY 3,775752,Outside,13
9/3/2024 22:59,86078,G3 ENTRY 3,549928,Outside,230
9/3/2024 22:59,87071,G3 ENTRY 3Z,520278,Outside,230
9/3/2024 22:59,86078,G3 ENTRY 3,863222,,13
9/3/2024 22:58,8D058,G1 ENTRY 3 QR,832620,via FR App.,65
9/3/2024 22:58,8D058,G1 ENTRY 3 QR,832620,via FR App.,65
9/3/2024 22:58,86008,G2 ENTRY1,810069,,13
9/3/2024 22:57,86094,G3 ENTRY 3 QR,543354,via FR App.,65
9/3/2024 22:57,86078,G3 ENTRY 3,543354,Outside,65
9/3/2024 22:57,86078,G3 ENTRY 3,520276,Outside,230
9/3/2024 22:56,8.00E+44,G5 ENTRY TS,722853,,13
9/3/2024 22:56,8.00E+44,G5 ENTRY TS,722853,,13
9/3/2024 22:56,86030,G3 ENTRY TS QR,762651,,65
9/3/2024 22:56,86067,G4 ENTRY TS1,506905,Outside,230
9/3/2024 22:54,86078,G3 ENTRY 3,883320,Outside,13
9/3/2024 22:53,8.00E+44,G5 ENTRY TS,102212,,13
9/3/2024 22:52,8.00E+44,G5 ENTRY TS,557370,,14
9/3/2024 22:52,86094,G3 ENTRY 3 QR,907959,via FR App.,13
9/3/2024 22:52,86078,G3 ENTRY 3,907959,Outside,13
9/3/2024 22:51,86008,G2 ENTRY1,545395,Outside,230
9/3/2024 22:51,86078,G3 ENTRY 3,850893,,15
9/3/2024 22:51,86008,G2 ENTRY1,825509,,13
9/3/2024 22:51,86024,G2 ENTRY1 QR,856818,,13
9/3/2024 22:50,86078,G3 ENTRY 3,887977,,13
9/3/2024 22:50,86008,G2 ENTRY1,534617,Outside,230
9/3/2024 22:50,86078,G3 ENTRY 3,544586,Outside,230
9/3/2024 22:49,8.00E+44,G5 ENTRY TS,553412,Outside,230
9/3/2024 22:48,86072,G2 ENTRY TS,517841,Outside,230
9/3/2024 22:48,86008,G2 ENTRY1,812496,,14
9/3/2024 22:48,86072,G2 ENTRY TS,811367,,13
9/3/2024 22:48,86078,G3 ENTRY 3,774195,,13
9/3/2024 22:47,86078,G3 ENTRY 3,515620,,13
9/3/2024 22:47,86078,G3 ENTRY 3,547164,,65
9/3/2024 22:45,86072,G2 ENTRY TS,822625,,13
9/3/2024 22:45,86072,G2 ENTRY TS,537765,Outside,230
9/3/2024 22:45,86072,G2 ENTRY TS,872458,,13
9/3/2024 22:45,86078,G3 ENTRY 3,531968,,13
9/3/2024 22:45,86072,G2 ENTRY TS,544813,Outside,230
9/3/2024 22:45,86008,G2 ENTRY1,549948,Outside,230
9/3/2024 22:45,86072,G2 ENTRY TS,555670,Outside,230
9/3/2024 22:45,86072,G2 ENTRY TS,523909,Outside,230
9/3/2024 22:45,86072,G2 ENTRY TS,506271,Outside,230
9/3/2024 22:45,86072,G2 ENTRY TS,871457,Outside,13
9/3/2024 22:45,86072,G2 ENTRY TS,506782,Outside,230
9/3/2024 22:43,86078,G3 ENTRY 3,810065,Outside,13
9/3/2024 22:42,86078,G3 ENTRY 3,509817,Outside,230
9/3/2024 22:42,86078,G3 ENTRY 3,531921,Outside,230
9/3/2024 22:41,86094,G3 ENTRY 3 QR,536324,via FR App.,65
9/3/2024 22:41,87071,G3 ENTRY 3Z,536324,,65
9/3/2024 22:41,86072,G2 ENTRY TS,811367,,13
9/3/2024 22:41,86072,G2 ENTRY TS,811367,,13
9/3/2024 22:41,8B034,G2 ENTRY TSZ,529405,Outside,230
9/3/2024 22:41,86067,G4 ENTRY TS1,525377,Outside,230
9/3/2024 22:41,86067,G4 ENTRY TS1,526134,Outside,230
9/3/2024 22:40,86067,G4 ENTRY TS1,819717,,14
9/3/2024 22:38,8.00E+44,G5 ENTRY TS,872621,,13
9/3/2024 22:38,86008,G2 ENTRY1,515948,Outside,13
9/3/2024 22:38,86094,G3 ENTRY 3 QR,557394,via FR App.,65
9/3/2024 22:38,86078,G3 ENTRY 3,557394,,65
9/3/2024 22:37,86008,G2 ENTRY1,843606,,169
9/3/2024 22:36,86067,G4 ENTRY TS1,556390,,13
9/3/2024 22:35,86078,G3 ENTRY 3,775718,,13
9/3/2024 22:35,86078,G3 ENTRY 3,542929,Outside,230
9/3/2024 22:34,87071,G3 ENTRY 3Z,755224,,65
9/3/2024 22:34,87071,G3 ENTRY 3Z,755224,,65
9/3/2024 22:34,87071,G3 ENTRY 3Z,755224,,65
9/3/2024 22:34,87071,G3 ENTRY 3Z,755224,,65
9/3/2024 22:34,86094,G3 ENTRY 3 QR,755224,via FR App.,65
9/3/2024 22:34,86078,G3 ENTRY 3,755224,,65
9/3/2024 22:32,86094,G3 ENTRY 3 QR,557937,via FR App.,13
9/3/2024 22:32,86078,G3 ENTRY 3,557937,,13
9/3/2024 22:32,86078,G3 ENTRY 3,893382,,65
9/3/2024 22:30,86078,G3 ENTRY 3,770406,,65
9/3/2024 22:30,86078,G3 ENTRY 3,758137,,65
9/3/2024 22:28,86078,G3 ENTRY 3,555940,Outside,230
9/3/2024 22:26,86078,G3 ENTRY 3,918348,Outside,13
9/3/2024 22:24,86072,G2 ENTRY TS,552496,Outside,169
9/3/2024 22:22,86008,G2 ENTRY1,779828,,65
9/3/2024 22:21,8.00E+44,G5 ENTRY TS,375578,,13
9/3/2024 22:20,86078,G3 ENTRY 3,808747,,13
